game_id,season,neutral_site,gametime,conference_game,attendance,venue_zip,venue_name,venue_capacity,h_market,h_id,h_alias,h_conf_alias,h_points_game,h_rank,a_market,a_id,a_alias,a_conf_alias,a_points_game,a_rank,h_long_name,a_long_name,h_avg_attendence,h_m_enroll,h_f_enroll,h_t_enroll,h_budget,h_ppg,h_oppg,a_avg_attendence,a_m_enroll,a_f_enroll,a_t_enroll,a_budget,a_ppg,a_oppg,d_spread,d_avg_attendence,d_m_enroll,d_f_enroll,d_t_enroll,d_budget,d_ppg,d_oppg,outcome
eea7d885-259d-40f4-af21-1dbd4a9b2fc0,2017,False,2018-03-03 23:30:00.000000 UTC,True,3148.0,99163,Beasley Coliseum,11671.0,Washington State,2d4f0015-adb4-4877-8c15-4a6eed7eed03,WSU,PAC12,67,0,Oregon State,532d3874-b4b3-4c5c-acc6-749a6db26c8f,ORST,PAC12,92,0,Washington State University,Oregon State University,46772,9371,10364,19735,5867954,73.5,66.7,61649,10119,9588,19707,7085122,68.9,72.7,-25,-14877,-748,776,28,-1217168,4.6,-6.0,0
f9e28848-1a6a-47a8-aaa2-86d59e87a709,2017,False,2018-01-12 02:00:00.000000 UTC,True,14644.0,85721,McKale Center,14644.0,Arizona,9b166a3f-e64b-4825-bb6b-92c6f0418263,ARIZ,PAC12,62,17,Oregon State,532d3874-b4b3-4c5c-acc6-749a6db26c8f,ORST,PAC12,53,0,University of Arizona,Oregon State University,239947,13006,17130,30136,15934003,87.1,72.1,61649,10119,9588,19707,7085122,68.9,72.7,9,178298,2887,7542,10429,8848881,18.2,-0.6,1
8fb6e1c3-795d-4d7a-8d7c-7b986a533cf4,2017,False,2018-01-28 01:00:00.000000 UTC,True,12364.0,97401,Matthew Knight Arena,12364.0,Oregon,1da70895-f77f-44ef-b216-d63c02e696eb,ORE,PAC12,66,0,Oregon State,532d3874-b4b3-4c5c-acc6-749a6db26c8f,ORST,PAC12,57,0,University of Oregon,Oregon State University,124682,8035,10150,18185,11919466,75.6,72.3,61649,10119,9588,19707,7085122,68.9,72.7,9,63033,-2084,562,-1522,4834344,6.7,-0.4,1
158109d0-6b2b-4a4c-b83a-9152634c6bf7,2017,True,2017-11-27 00:00:00.000000 UTC,False,,34747,HP Field House,1200.0,Marist,15d31915-fbd6-4ae3-8e4b-f3b563c56a18,MRST,MAAC,46,0,Oregon State,532d3874-b4b3-4c5c-acc6-749a6db26c8f,ORST,PAC12,65,0,Marist College,Oregon State University,1553,2025,2889,4914,2294053,64.6,62.2,61649,10119,9588,19707,7085122,68.9,72.7,-19,-60096,-8094,-6699,-14793,-4791069,-4.3,-10.5,0
b0cf1cc3-85c3-4a81-84a9-5c45624e0dfa,2017,False,2018-03-02 02:00:00.000000 UTC,True,2592.0,99163,Beasley Coliseum,11671.0,Washington State,2d4f0015-adb4-4877-8c15-4a6eed7eed03,WSU,PAC12,78,0,Oregon,1da70895-f77f-44ef-b216-d63c02e696eb,ORE,PAC12,76,0,Washington State University,University of Oregon,46772,9371,10364,19735,5867954,73.5,66.7,124682,8035,10150,18185,11919466,75.6,72.3,2,-77910,1336,214,1550,-6051512,-2.1,-5.6,1
c2aa05c7-a331-4b34-8a0d-032de8c7a55d,2017,False,2018-01-13 19:00:00.000000 UTC,True,14644.0,85721,McKale Center,14644.0,Arizona,9b166a3f-e64b-4825-bb6b-92c6f0418263,ARIZ,PAC12,90,17,Oregon,1da70895-f77f-44ef-b216-d63c02e696eb,ORE,PAC12,83,0,University of Arizona,University of Oregon,239947,13006,17130,30136,15934003,87.1,72.1,124682,8035,10150,18185,11919466,75.6,72.3,7,115265,4971,6980,11951,4014537,11.5,-0.2,1
38d71486-96aa-41c7-8d52-0caedb18dfa1,2017,True,2018-03-09 04:30:00.000000 UTC,False,13194.0,89158,T-Mobile Arena,18000.0,Utah,0d037a5d-827a-44dd-8b70-57603d671d5d,UTAH,PAC12,66,0,Oregon,1da70895-f77f-44ef-b216-d63c02e696eb,ORE,PAC12,68,0,University of Utah,University of Oregon,114047,10979,10210,21189,11803281,78.8,73.2,124682,8035,10150,18185,11919466,75.6,72.3,-2,-10635,2944,60,3004,-116185,3.2,0.9,0
f13ab618-5b5c-4286-b62b-a7f937def4ed,2017,False,2018-01-06 03:00:00.000000 UTC,True,6482.0,97331,Gill Coliseum,9604.0,Oregon State,532d3874-b4b3-4c5c-acc6-749a6db26c8f,ORST,PAC12,76,0,Oregon,1da70895-f77f-44ef-b216-d63c02e696eb,ORE,PAC12,64,0,Oregon State University,University of Oregon,61649,10119,9588,19707,7085122,68.9,72.7,124682,8035,10150,18185,11919466,75.6,72.3,12,-63033,2084,-562,1522,-4834344,-6.7,0.4,1
966b4934-47f1-439a-806f-19fe165c7c89,2017,False,2018-03-18 20:30:00.000000 UTC,False,3618.0,53203,BMO Harris Bradley Center,18717.0,Marquette,06f7c904-0ac7-4125-b0f4-f4871bb69057,MARQ,BIGEAST,101,0,Oregon,1da70895-f77f-44ef-b216-d63c02e696eb,ORE,PAC12,92,0,Marquette University,University of Oregon,243584,3150,4010,7160,17268167,78.1,69.8,124682,8035,10150,18185,11919466,75.6,72.3,9,118902,-4885,-6140,-11025,5348701,2.5,-2.5,1
edef2ae0-9305-4a9b-81a5-90a954a96f98,2017,False,2018-02-18 03:00:00.000000 UTC,True,2924.0,99163,Beasley Coliseum,11671.0,Washington State,2d4f0015-adb4-4877-8c15-4a6eed7eed03,WSU,PAC12,70,0,Utah,0d037a5d-827a-44dd-8b70-57603d671d5d,UTAH,PAC12,77,0,Washington State University,University of Utah,46772,9371,10364,19735,5867954,73.5,66.7,114047,10979,10210,21189,11803281,78.8,73.2,-7,-67275,-1608,154,-1454,-5935327,-5.3,-6.5,0
07852bd4-ed7e-4c4d-8551-44f64b7e19bc,2017,False,2018-01-27 22:30:00.000000 UTC,True,14644.0,85721,McKale Center,14644.0,Arizona,9b166a3f-e64b-4825-bb6b-92c6f0418263,ARIZ,PAC12,74,11,Utah,0d037a5d-827a-44dd-8b70-57603d671d5d,UTAH,PAC12,73,0,University of Arizona,University of Utah,239947,13006,17130,30136,15934003,87.1,72.1,114047,10979,10210,21189,11803281,78.8,73.2,1,125900,2027,6920,8947,4130722,8.3,-1.1,1
8a912823-16eb-4420-8ed3-486331010337,2017,False,2017-12-30 03:00:00.000000 UTC,True,9661.0,97401,Matthew Knight Arena,12364.0,Oregon,1da70895-f77f-44ef-b216-d63c02e696eb,ORE,PAC12,56,0,Utah,0d037a5d-827a-44dd-8b70-57603d671d5d,UTAH,PAC12,66,0,University of Oregon,University of Utah,124682,8035,10150,18185,11919466,75.6,72.3,114047,10979,10210,21189,11803281,78.8,73.2,-10,10635,-2944,-60,-3004,116185,-3.2,-0.9,0
c01d77df-7b4e-4b2d-a619-eff5c5b19893,2017,False,2017-12-31 23:00:00.000000 UTC,True,4751.0,97331,Gill Coliseum,9604.0,Oregon State,532d3874-b4b3-4c5c-acc6-749a6db26c8f,ORST,PAC12,64,0,Utah,0d037a5d-827a-44dd-8b70-57603d671d5d,UTAH,PAC12,66,0,Oregon State University,University of Utah,61649,10119,9588,19707,7085122,68.9,72.7,114047,10979,10210,21189,11803281,78.8,73.2,-2,-52398,-860,-622,-1482,-4718159,-9.9,-0.5,0
85aa3354-8126-401c-b66a-e4ec6c3f64a3,2017,False,2017-12-06 02:00:00.000000 UTC,False,7638.0,46208,Hinkle Fieldhouse,9100.0,Butler,bdb7d7a4-45f8-4bf3-ab85-15488c451494,BUT,BIGEAST,81,0,Utah,0d037a5d-827a-44dd-8b70-57603d671d5d,UTAH,PAC12,69,0,Butler University,University of Utah,126686,1726,2522,4248,8323023,77.1,73.7,114047,10979,10210,21189,11803281,78.8,73.2,12,12639,-9253,-7688,-16941,-3480258,-1.7,0.5,1
adf19fd4-ba93-464c-be7f-65b54233d847,2017,False,2017-12-17 04:00:00.000000 UTC,False,16272.0,84602,Marriott Center,19000.0,BYU,c31455b2-8a45-4248-aa8f-ce7eab1c6b02,BYU,WCC,77,0,Utah,0d037a5d-827a-44dd-8b70-57603d671d5d,UTAH,PAC12,65,0,Brigham Young University,University of Utah,291189,13555,14699,28254,10685023,81.4,69.9,114047,10979,10210,21189,11803281,78.8,73.2,12,177142,2576,4489,7065,-1118258,2.6,-3.3,1
4fee23b9-69ae-4202-8a56-9a557187113a,2017,False,2018-03-22 02:00:00.000000 UTC,False,2309.0,94575,McKeon Pavilion,3500.0,Saint Mary's,b18f34af-a7f1-4659-a2e5-fc11a31cd316,SMC,WCC,58,25,Utah,0d037a5d-827a-44dd-8b70-57603d671d5d,UTAH,PAC12,67,0,Saint Mary's College of California,University of Utah,57541,839,1073,1912,6444755,74.0,59.2,114047,10979,10210,21189,11803281,78.8,73.2,-9,-56506,-10140,-9137,-19277,-5358526,-4.8,-14.0,1
